"INTEREST_ID","CONTACT_ID","R01_ORG_NAME"
12,6496,"University of Dallas"
12,666823,"Soluciones Dinamicas"
12,19166823,"Anne Gire International Consulting Cabinet"
12,37896823,"deekay"
12,38126823,"IME - Imprimerie Moderne de l'Est"
12,41806823,"SGS Mozambique, Lda"
12,41816823,"SGS Mozambique, Lda"
12,43086823,"Rapaport Group of Companies"
12,45056823,"S.C. Contor Group S.A."
12,45066823,"S.C. Contor Group S.A."
12,45416823,"S.C. Contor Group S.A."
12,45916823,"Danfoss Group"
12,46156823,"Federation of Korean Trade Unions - FKTU"
12,46166823,"Federation of Korean Trade Unions - FKTU"
12,47056823,"Resource"
12,49336823,"ICA AB"
12,52886823,"Outermedia GmbH"
12,54466823,"Petrobras SA"
12,67936823,"Credit Suisse"
12,72426823,"Community Disability Saving and Credit Cooperative Society LImited"
12,83796823,"Indian Oil Corporation Ltd."
12,86706823,"Employers' Federation of Pakistan"
12,88856823,"Novartis Corporativo, S.A. de C.V."
12,89696823,"Statoil Hydro"
12,96956823,"China Petroleum and Chemical Corporation - Sinopec"
12,100976823,"Sansemen Government"
12,103146823,"Natividad Abogados, S.C. Asesores de empresas"
13,70,"ABB S.A."
13,207,"Aeropuertos Argentina 2000"
13,1085,"Caisse Nationale de Caisses d'Epargne et de Prevoyances"
13,2380,"Farma Agripro"
13,2568,"Fuluhashi Corporation"
13,2623,"Fundación Ineval"
13,3379,"Hope Worldwide-Pakistan"
13,3547,"Infineon Technologies AG"
